Field_ID,Pollution_level,Plot_size,Crop_type,Annual_yield,Standard_yield
6946,0.13,1.2,wheat,0.55,0.46
30899,0.12,4.9,maize,2.65,0.54
25997,0.01,2.4,rice,1.41,0.59
17115,0.44,0.8,potato,0.44,0.56
14756,0.12,0.8,wheat,0.44,0.55
7397,0.2,2.4,tea,1.18,0.49
43709,0.14,4.3,tea,3.23,0.75
14065,0.04,0.8,potato,0.56,0.7
26392,0.21,2.7,tea,1.02,0.38
38917,0.13,0.7,cassava,0.36,0.51
33676,0.02,1.2,maize,0.63,0.53
7969,0.11,1.1,potato,0.68,0.62
17698,0.52,1.6,tea,0.8,0.5
34530,0.25,12.2,potato,7.6,0.62
32077,0.0,2.6,potato,1.66,0.64
13905,0.27,7.5,potato,4.57,0.61
22197,0.17,0.7,potato,0.42,0.59
14459,0.0,1.0,potato,0.57,0.57
5020,0.35,3.9,cassava,2.16,0.55
24138,0.38,4.6,tea,3.28,0.71
15888,0.04,1.3,rice,0.73,0.56
40991,0.68,3.8,cassava,2.01,0.53
21418,0.03,1.7,rice,1.14,0.67
20868,0.24,4.4,tea,3.68,0.84
1655,0.34,1.2,tea,0.52,0.44
28443,0.95,4.2,wheat,1.31,0.31
9532,0.0,3.4,banana,1.48,0.44
22732,0.68,4.2,maize,1.63,0.39
26976,0.05,2.5,potato,1.66,0.66
22730,0.26,1.1,potato,0.66,0.6
6887,0.0,2.5,cassava,1.15,0.46
20926,0.98,0.6,tea,0.28,0.46
21122,0.09,2.0,cassava,0.93,0.47
14354,0.07,1.0,tea,0.81,0.81
26927,0.16,2.2,wheat,1.5,0.68
4867,0.47,1.2,wheat,0.48,0.4
42235,0.79,12.5,cassava,5.07,0.41
34803,0.05,1.0,cassava,0.4,0.4
216,0.0,8.2,rice,5.3,0.65
29198,0.03,2.1,rice,1.4,0.67
5879,0.01,1.9,wheat,0.91,0.48
21434,0.9,1.7,cassava,0.7,0.41
34534,0.08,3.9,tea,3.31,0.85
43094,0.08,4.5,banana,2.04,0.45
15143,0.67,2.8,cassava,0.99,0.35
12730,0.37,2.3,coffee,1.4,0.61
14532,0.23,0.7,potato,0.4,0.57
8568,0.02,1.5,potato,0.9,0.6
15638,0.14,6.3,rice,3.55,0.56
17737,0.0,7.6,banana,2.71,0.36
24508,0.2,2.7,wheat,1.57,0.58
42516,0.58,14.1,cassava,7.24,0.51
43611,0.0,4.4,banana,2.12,0.48
1175,0.24,12.0,tea,5.87,0.49
19327,0.29,2.0,potato,1.04,0.52
22238,0.36,11.9,potato,7.01,0.59
31142,0.33,11.3,banana,5.98,0.53
19489,0.02,1.3,potato,0.8,0.62
33834,0.02,4.7,banana,1.78,0.38
22798,0.21,1.9,potato,1.07,0.56
26157,0.62,10.6,wheat,4.24,0.4
44980,0.06,2.0,wheat,1.26,0.63
898,0.16,3.2,wheat,1.89,0.59
24294,0.06,0.9,cassava,0.52,0.58
5595,0.2,3.1,maize,1.77,0.57
27324,0.72,0.7,wheat,0.22,0.32
16174,0.07,0.5,maize,0.3,0.6
21594,0.0,0.6,banana,0.25,0.42
32202,0.12,3.2,wheat,1.66,0.52
16864,0.44,11.6,potato,6.2,0.53
23186,0.97,3.6,wheat,1.26,0.35
38453,0.4,6.9,coffee,2.11,0.31
42326,0.02,14.9,banana,7.08,0.48
42555,0.74,1.8,wheat,0.65,0.36
24097,0.07,13.3,wheat,6.9,0.52
4550,0.48,7.5,wheat,3.43,0.46
9724,0.48,1.1,wheat,0.44,0.4
22780,0.19,7.3,banana,4.04,0.55
25310,0.57,7.1,tea,3.86,0.54
12804,0.22,0.9,tea,0.36,0.4
3488,0.11,8.8,wheat,5.7,0.65
16201,0.91,3.4,cassava,1.63,0.48
21077,0.66,3.5,wheat,1.91,0.55
19100,0.06,2.1,coffee,0.8,0.38
38957,0.68,1.0,wheat,0.54,0.54
15258,0.0,6.4,rice,3.41,0.53
1107,0.34,2.2,cassava,1.2,0.55
42380,0.13,13.3,wheat,6.05,0.46
12994,0.14,2.2,tea,1.66,0.75
31914,0.01,4.4,rice,1.92,0.44
32226,0.34,0.6,tea,0.29,0.48
3375,0.1,2.8,wheat,1.85,0.66
19313,0.1,4.6,tea,3.59,0.78
17802,0.76,0.9,wheatn,0.34,0.38
27933,0.17,4.8,banana,2.59,0.54
20066,0.22,3.7,tea,1.63,0.44
31059,0.1,1.4,coffee,0.74,0.53
33552,0.0,6.8,banana,2.78,0.41
3564,0.17,1.4,banana,0.73,0.52
8358,0.18,6.6,wheat,3.53,0.54
26098,0.01,2.1,coffee,1.13,0.54
7686,0.3,5.7,maize,3.14,0.55
36913,0.26,4.7,tea,3.49,0.74
36075,0.05,11.8,tea,9.01,0.76
2185,0.06,11.3,tea,9.15,0.81
27831,0.36,3.4,wheat,2.3,0.68
3863,0.24,2.2,coffee,0.9,0.41
23167,0.03,4.5,coffee,2.49,0.55
9433,0.56,1.5,cassava,0.69,0.46
11976,0.07,3.6,wheat,1.4,0.39
24452,0.08,7.2,cassava,3.92,0.54
18943,0.12,1.5,coffee,0.83,0.55
1278,0.99,13.0,tea,6.29,0.48
13511,0.92,4.7,wheat,2.35,0.5
231,0.01,0.8,banana,0.35,0.44
28266,0.06,3.7,tea,3.06,0.83
10036,0.05,0.5,wheat,0.26,0.52
19960,0.39,4.2,wheat,2.01,0.48
14653,0.93,3.7,coffee,1.09,0.29
42102,0.39,7.1,cassava,3.73,0.52
2791,0.1,11.9,tea,9.51,0.8
7836,0.04,2.6,coffee,1.3,0.5
16842,0.03,1.7,wheat,0.82,0.48
41644,0.12,1.6,banana,0.71,0.44
32032,0.12,5.0,banana,2.09,0.42
33835,0.0,5.0,rice,2.82,0.56
22921,0.28,3.8,maize,2.13,0.56
24006,0.17,1.9,cassava,0.88,0.46
34805,0.13,1.4,maize,0.69,0.49
3734,0.83,1.5,maize,0.69,0.46
17161,0.64,2.1,cassava,1.01,0.48
7831,0.22,3.7,potato,2.31,0.62
43296,0.01,5.9,wheat,2.27,0.38
4672,0.14,0.8,tea,0.58,0.72
19138,0.02,0.9,rice,0.56,0.62
21317,0.36,2.6,tea,1.67,0.64
16085,0.2,12.3,potato,7.05,0.57
25243,0.44,2.2,cassava,1.21,0.55
13559,0.07,4.2,potato,2.46,0.59
17396,0.21,1.2,potato,0.63,0.53
16071,0.3,1.7,cassava,0.61,0.36
29220,0.02,3.3,coffee,1.81,0.55
7893,0.0,0.5,potato,0.32,0.63
4305,0.26,11.0,tea,7.81,0.71
15294,0.2,2.6,rice,1.25,0.48
28593,0.2,2.6,tea,2.11,0.81
43929,0.0,4.1,banana,2.44,0.59
14313,0.66,4.1,maize,2.03,0.5
30269,0.33,2.0,potato,1.08,0.54
26808,0.18,1.3,cassava,0.61,0.47
18503,0.12,4.9,cassava,2.12,0.43
44648,0.17,1.7,banana,1.14,0.67
21035,0.19,1.9,wheat,1.16,0.61
13609,0.28,2.4,tea,1.93,0.8
41472,0.09,8.4,wheat,3.95,0.47
28053,0.23,0.5,tea,0.22,0.44
6985,0.14,2.3,coffee,1.06,0.46
12858,0.29,1.6,maize,0.82,0.51
5908,0.25,10.3,maize,5.28,0.51
9743,0.21,6.5,wheat,3.65,0.56
15751,0.06,4.6,cassava,1.76,0.38
21425,0.23,10.2,potato,5.99,0.59
16946,0.2,0.6,wheat,0.31,0.52
6293,0.2,0.6,wheat,0.27,0.46
20305,0.86,4.9,coffee,1.51,0.31
4832,0.07,1.1,coffee,0.54,0.49
38632,0.28,1.1,wheat,0.51,0.47
28558,0.17,3.2,banana,1.68,0.52
3804,0.21,4.4,wheat,2.47,0.56
34100,0.0,9.7,wheat,5.7,0.59
44728,0.26,3.7,tea,2.43,0.66
33348,0.22,3.3,banana,1.84,0.56
22752,0.14,2.1,wheat,1.16,0.55
14311,0.04,12.8,coffee,6.24,0.49
15529,0.88,1.1,cassava,0.6,0.55
32414,0.05,1.1,cassava,0.73,0.66
13505,0.12,0.7,wheat,0.43,0.61
32946,0.5,3.4,coffee,1.48,0.44
2730,0.05,3.8,banana,2.18,0.57
21012,0.04,0.9,wheat,0.48,0.54
43005,0.01,1.9,rice,1.04,0.55
32133,0.1,3.6,tea,2.32,0.64
43722,0.47,4.9,potato,2.73,0.56
16642,0.32,1.7,wheat,0.79,0.46
20416,0.28,2.7,banana,1.17,0.43
11636,0.29,5.0,banana,2.03,0.41
29314,0.01,2.5,coffee,1.32,0.53
39570,0.41,1.0,tea,0.47,0.47
40754,0.37,0.5,potato,0.31,0.61
27456,0.25,2.1,banana,0.75,0.35
21222,0.26,0.8,tea,0.5,0.62
40975,0.92,3.3,coffee,0.9,0.27
44861,0.48,4.6,wheat,2.02,0.44
13247,0.22,2.2,banana,1.37,0.62
44180,0.07,1.2,potato,0.78,0.65
32211,0.31,6.0,tea,4.47,0.75
890,0.36,9.4,tea,4.97,0.53
38240,0.07,2.8,banana,1.18,0.42
1377,0.07,3.5,wheat,1.53,0.44
33916,0.79,2.1,cassava,0.66,0.32
13800,0.1,12.3,wheat,5.19,0.42
8934,0.06,0.8,wheat,0.39,0.49
36111,0.59,11.8,wheat,3.07,0.26
43539,0.1,4.9,banana,2.16,0.44
45143,0.1,3.9,tea,3.12,0.8
10430,0.21,3.8,cassava,1.88,0.49
12894,0.91,4.3,coffee,0.9,0.21
28994,0.12,1.9,maize,1.2,0.63
38764,0.24,1.7,maize,1.04,0.61
28895,0.25,1.3,tea,0.86,0.66
7892,0.19,2.0,coffee,1.22,0.61
35639,0.82,0.8,wheat,0.33,0.42
41799,0.34,4.9,tea,3.04,0.62
32023,0.06,0.8,cassava,0.28,0.36
34708,0.07,2.1,coffee,1.0,0.48
8546,0.35,3.5,banana,1.99,0.57
18875,0.44,2.2,potato,1.14,0.52
33278,0.12,4.7,potato,2.65,0.56
19148,0.52,9.7,wheat,3.2,0.33
354,0.13,1.3,wheat,0.79,0.61
23642,0.21,0.7,tea,0.5,0.71
11841,0.0,0.6,banana,0.25,0.42
37326,0.01,2.7,wheat,1.33,0.49
36891,0.26,1.7,teaa,0.95,0.56
30398,0.01,1.9,coffee,0.84,0.44
8368,0.0,4.9,banana,2.49,0.51
14815,0.0,5.7,wheat,3.03,0.53
21835,0.36,4.6,wheat,2.45,0.53
21622,0.06,3.2,maize,2.02,0.63
35665,0.28,1.0,tea,0.69,0.69
44398,0.06,4.5,tea,3.09,0.69
39724,0.01,4.5,coffee,2.17,0.48
17714,0.03,0.5,rice,0.32,0.65
16330,0.0,2.1,tea,1.66,0.79
8780,0.06,3.9,potato,2.64,0.68
33929,0.11,1.4,tea,1.01,0.72
24385,0.08,1.7,banana,0.87,0.51
32589,0.88,3.8,wheat,1.67,0.44
43127,0.17,7.4,rice,3.54,0.48
21501,0.26,2.6,maize,1.27,0.49
36381,0.06,1.0,cassava,0.52,0.52
8326,0.15,1.3,wheat,0.66,0.51
26378,0.41,5.5,coffee,1.82,0.33
40431,0.68,4.5,potato,2.29,0.51
4647,0.81,2.6,cassava,1.09,0.42
35698,0.36,0.9,potato,0.47,0.53
24296,0.44,7.8,maize,4.66,0.6
30689,0.77,1.0,banana,0.26,0.26
43984,0.39,3.6,wheat,1.95,0.54
23785,0.29,0.6,wheat,0.28,0.47
27813,0.0,3.0,tea,2.22,0.74
25331,0.2,4.9,wheat,2.71,0.55
43500,0.1,0.7,wheat,0.36,0.51
10993,0.6,4.2,maize,2.03,0.48
33042,0.2,1.4,potato,0.82,0.59
39608,0.19,14.3,coffee,6.38,0.45
25203,0.21,1.6,cassaval,0.65,0.41
4449,0.01,3.8,banana,2.12,0.56
13316,0.03,1.0,coffee,0.57,0.57
39148,0.27,5.7,wheat,2.86,0.5
40939,0.05,14.9,coffee,7.49,0.5
40384,0.05,2.5,tea,1.53,0.61
24007,0.39,1.6,maize,0.69,0.43
9162,0.81,6.4,wheat,3.43,0.54
501,0.08,1.1,wheat,0.47,0.42
21862,0.0,3.5,rice,2.4,0.68
12358,0.28,0.6,potato,0.36,0.6
14875,0.05,2.2,coffee,1.11,0.5
6067,0.29,3.8,maize,2.36,0.62
10504,0.26,5.3,wheat,3.82,0.72
15558,0.26,1.0,potato,0.6,0.6
18805,0.06,2.5,banana,1.26,0.5
15924,0.75,4.2,tea,2.12,0.5
19042,0.31,2.2,potato,1.35,0.61
16343,0.77,11.9,wheat,5.28,0.44
27809,0.74,4.4,tea,2.23,0.51
19519,0.0,1.6,rice,0.93,0.58
20026,0.2,3.1,tea,2.45,0.79
43400,0.29,1.0,tea,0.62,0.62
27492,0.28,3.4,potato,1.87,0.55
42303,0.0,3.5,wheat,1.45,0.41
42623,0.71,0.8,coffee,0.17,0.22
19060,0.24,2.8,cassava,1.73,0.62
2404,0.56,1.4,wheat,0.61,0.44
17926,0.28,2.0,potato,1.18,0.59
26566,0.45,14.8,wheat,5.78,0.39
15910,0.05,10.8,cassaval,5.03,0.47
24928,0.02,1.3,wheat,0.85,0.65
26223,0.44,4.3,tea,2.13,0.5
43564,0.7,5.2,cassava,2.3,0.44
5692,0.59,1.6,cassava,0.89,0.55
4704,0.28,11.2,tea,8.22,0.73
43013,0.06,2.0,tea,1.18,0.59
15750,0.04,1.8,wheat,0.99,0.55
44943,0.2,3.3,potato,1.97,0.6
1000,0.2,1.4,potato,0.83,0.59
22792,0.34,0.5,potato,0.29,0.58
11917,0.17,10.9,coffee,6.83,0.63
24375,0.0,14.3,wheat,5.33,0.37
26461,0.08,4.8,potato,3.03,0.63
15170,0.0,4.3,wheat,2.86,0.67
2463,0.44,1.9,coffee,0.63,0.33
44044,0.43,0.8,potato,0.42,0.53
144,0.78,13.1,cassava,4.66,0.36
36802,0.25,1.7,tea,1.31,0.77
25701,0.01,1.6,wheat,0.88,0.55
14763,0.46,1.7,maize,0.65,0.38
10226,0.57,5.6,wheat,2.45,0.44
30661,0.1,1.9,tea,1.38,0.72
38656,0.34,1.4,tea,0.95,0.68
40817,0.0,11.4,banana,4.73,0.42
19711,0.27,4.2,coffee,2.3,0.55
34741,0.04,3.8,tea,2.52,0.66
23529,0.11,0.8,potato,0.5,0.63
31167,0.08,4.4,cassava,1.67,0.38
9288,0.33,4.9,maize,2.42,0.49
23145,0.09,0.5,tea,0.28,0.57
18173,0.1,1.4,potato,0.88,0.63
12347,0.23,2.5,wheat,1.23,0.49
10163,0.01,5.8,tea,2.73,0.47
23542,0.71,4.6,cassava,2.32,0.5
22943,0.04,8.0,tea,6.58,0.82
26088,0.05,6.5,banana,3.51,0.54
36237,0.37,1.8,tea,1.05,0.58
13657,0.0,0.7,tea,0.55,0.79
8091,0.13,3.0,wheatn,1.47,0.49
42499,0.12,4.7,tea,3.96,0.84
3714,0.0,3.2,wheat,1.58,0.49
7667,0.0,0.8,banana,0.35,0.44
2464,0.22,1.8,coffee,0.79,0.44
21987,0.53,2.3,wheat,1.08,0.47
2874,0.3,8.4,cassava,4.67,0.56
1121,0.25,1.8,maize,1.03,0.57
36037,0.58,1.6,tea,0.66,0.41
2585,0.04,13.0,coffee,6.2,0.48
17417,0.01,1.1,potato,0.71,0.65
30705,0.26,0.7,potato,0.41,0.59
17914,0.38,3.8,cassava,2.08,0.55
17243,0.7,2.8,cassava,1.5,0.53
33856,0.0,3.2,cassava,1.36,0.42
24958,0.18,4.0,wheat,2.02,0.51
16095,0.77,2.3,cassava,1.09,0.47
12277,0.0,3.3,banana,1.6,0.49
15400,0.27,11.0,potato,6.93,0.63
3789,0.07,0.8,wheat,0.41,0.51
23003,0.4,3.0,tea,1.33,0.44
26332,0.41,4.7,wheat,2.3,0.49
7321,0.06,2.4,banana,0.86,0.36
11591,0.3,9.9,rice,5.19,0.52
31689,0.09,12.3,wheat,5.84,0.47
6420,0.08,2.3,cassava,1.31,0.57
42399,0.05,3.4,tea,2.15,0.63
19883,0.07,10.2,cassava,5.09,0.5
25754,0.3,2.6,maize,1.32,0.51
30405,0.02,3.0,wheat,1.38,0.46
21980,0.15,1.2,tea,0.96,0.8
5742,0.21,5.0,tea,2.09,0.42
20586,0.36,1.8,coffee,1.1,0.61
36263,0.22,1.2,wheat,0.72,0.6
40263,0.72,2.6,cassava,1.48,0.57
13962,0.1,0.6,tea,0.45,0.74
3434,0.79,1.6,cassava,0.71,0.44
13538,0.11,1.0,cassava,0.51,0.51
17779,0.0,1.9,banana,0.63,0.33
11359,0.62,4.0,coffee,1.03,0.26
22206,0.09,10.2,wheat,6.04,0.59
25978,0.01,14.3,tea,11.26,0.79
20363,0.94,3.6,banana,1.28,0.35
44164,0.37,13.4,banana,7.09,0.53
22425,0.23,1.5,coffee,0.6,0.4
26541,0.01,2.3,potato,1.49,0.65
2740,0.23,0.6,tea,0.28,0.47
37054,0.04,3.2,cassava,1.33,0.42
17289,0.23,1.3,potato,0.83,0.64
9501,0.07,2.0,potato,1.23,0.61
21960,0.01,4.4,cassava,1.9,0.43
9801,0.57,4.2,wheat,1.52,0.36
27320,0.02,1.4,rice,0.9,0.65
44019,0.42,1.6,potato,0.92,0.58
27838,0.0,4.7,wheat,2.41,0.51
28735,0.26,0.6,wheat,0.28,0.46
5342,0.33,3.5,potato,2.16,0.62
811,0.37,11.2,coffee,7.36,0.66
10476,0.03,4.9,maize,2.46,0.5
40413,0.91,0.7,wheat,0.17,0.25
41214,0.02,4.0,cassava,1.43,0.36
8578,0.04,1.9,coffee,0.94,0.5
173,0.75,2.1,coffee,0.62,0.3
40692,0.3,14.4,cassava,8.21,0.57
37824,0.28,3.4,potato,2.04,0.6
16050,0.65,8.5,cassava,4.43,0.52
35823,0.24,13.1,tea,9.82,0.75
32739,0.32,3.2,tea,2.25,0.7
12637,0.34,1.5,potato,0.79,0.53
38229,0.15,2.4,maize,1.24,0.51
36461,0.5,13.6,coffee,4.56,0.34
11427,0.07,14.7,cassava,6.17,0.42
7401,0.09,8.4,wheat,5.17,0.62
42826,0.02,5.9,tea,4.16,0.71
22895,0.14,1.8,banana,0.7,0.39
8957,0.06,4.7,coffee,2.2,0.47
23773,0.06,4.3,banana,2.07,0.48
44528,0.09,1.4,potato,0.83,0.59
29559,0.05,4.8,wheat,3.55,0.74
16797,0.18,14.4,banana,4.97,0.35
33974,0.34,13.0,cassava,5.51,0.42
45089,0.21,0.7,tea,0.52,0.74
20206,0.24,0.6,potato,0.34,0.57
44524,0.27,14.5,potato,8.63,0.6
3829,0.04,1.9,banana,0.78,0.41
26574,0.1,10.7,coffee,5.62,0.52
23240,0.0,0.9,banana,0.37,0.41
17936,0.12,3.4,cassava,1.97,0.58
2135,0.04,2.3,potato,1.36,0.59
35682,0.05,10.2,tea,5.03,0.49
10311,0.15,1.7,wheat,0.9,0.53
18999,0.03,4.3,banana,1.64,0.38
39897,0.1,1.8,potato,0.92,0.51
18167,0.07,7.7,tea,4.47,0.58
25220,0.01,2.8,wheat,1.26,0.45
17353,0.22,3.7,potato,2.07,0.56
41661,0.45,1.2,maize,0.49,0.41
24902,0.27,0.8,tea,0.44,0.55
36693,0.91,0.6,cassava,0.28,0.46
42261,0.64,2.9,potato,1.33,0.46
27806,0.01,1.5,wheat,0.77,0.51
5553,0.05,1.9,banana,0.78,0.41
31928,0.32,1.3,tea,0.79,0.61
23933,0.24,1.7,maize,0.91,0.54
12690,0.4,8.7,coffee,2.78,0.32
26065,0.05,12.6,rice,7.47,0.59
40183,0.04,2.5,tea,1.57,0.63
3068,0.0,4.2,banana,1.54,0.37
35252,0.04,2.7,tea,1.91,0.71
7635,0.07,9.1,wheat,4.58,0.5
29095,0.07,1.1,cassava,0.64,0.58
38718,0.19,3.1,wheat,1.48,0.48
42049,0.21,0.9,coffee,0.56,0.62
6493,0.03,2.1,tea,1.29,0.61
32072,0.26,1.1,potato,0.64,0.58
31596,0.91,1.2,wheat,0.53,0.44
19166,0.21,2.0,coffee,1.07,0.54
44437,0.26,0.5,tea,0.26,0.52
29339,0.0,10.1,potato,6.77,0.67
26517,0.42,2.7,potato,1.66,0.62
2098,0.87,3.4,tea,1.84,0.54
24609,0.12,1.7,banana,0.89,0.52
4614,0.01,4.2,maize,2.74,0.65
40126,0.07,2.1,banana,1.02,0.49
3288,0.15,4.1,cassava,2.43,0.59
16248,0.11,3.3,cassava,1.59,0.48
43027,0.45,11.0,potato,5.2,0.47
11235,0.24,1.8,coffee,0.64,0.35
25847,0.21,2.4,potato,1.36,0.57
18739,0.16,1.6,cassava,1.05,0.65
36139,0.14,0.6,cassava,0.32,0.53
32554,0.16,3.2,tea,2.42,0.76
25585,0.11,3.4,maize,2.15,0.63
25768,0.19,14.8,maize,9.9,0.67
44097,0.25,2.0,wheat,1.27,0.64
116,0.84,4.6,cassava,1.25,0.27
26615,0.08,14.9,rice,10.51,0.71
39270,0.23,5.0,coffee,2.2,0.44
14467,0.21,12.4,tea,5.25,0.42
18303,0.41,0.9,wheat,0.43,0.48
8406,0.0,3.6,wheat,1.54,0.43
1631,0.12,4.6,tea,3.74,0.81
40716,0.26,1.3,wheat,0.48,0.37
43188,0.01,1.2,wheat,0.79,0.66
41404,0.0,3.7,banana,1.44,0.39
17571,0.78,2.3,tea,1.24,0.54
11275,0.79,13.6,wheat,4.54,0.33
43784,0.32,1.0,wheat,0.57,0.57
13591,0.6,0.9,cassava,0.44,0.49
6429,0.11,11.6,banana,5.64,0.49
29519,0.6,9.3,coffee,1.98,0.21
5672,0.08,9.1,tea,7.77,0.85
20340,0.3,4.4,maize,2.05,0.47
42180,0.83,0.9,tea,0.43,0.48
25604,0.14,1.3,wheat,0.88,0.68
17681,0.23,1.4,potato,0.83,0.6
31723,0.19,1.6,wheat,0.74,0.46
25873,0.26,3.3,banana,1.86,0.56
38937,0.31,0.6,tea,0.3,0.5
15521,0.04,4.2,wheat,2.0,0.48
20715,0.45,1.0,potato,0.64,0.64
8480,0.27,1.3,wheat,0.85,0.65
17683,0.05,14.5,wheat,7.98,0.55
6194,0.12,1.8,wheat,1.06,0.59
36471,0.06,4.9,wheat,3.39,0.69
27908,0.89,1.1,coffee,0.23,0.21
24242,0.02,4.9,wheat,2.81,0.57
19007,0.13,3.9,coffee,2.01,0.52
42192,0.27,3.0,coffee,1.36,0.45
38706,0.0,3.0,wheat,1.55,0.52
23875,0.03,14.3,banana,6.95,0.49
29636,0.22,1.4,potato,0.88,0.63
12272,0.24,13.5,wheat,8.02,0.59
16028,0.38,3.1,cassava,1.27,0.41
27170,0.02,2.6,tea,1.62,0.62
15135,0.21,9.2,tea,5.47,0.6
15570,0.0,4.4,coffee,2.23,0.51
33993,0.48,1.9,wheat,0.84,0.44
20212,0.65,3.9,cassava,2.16,0.55
18523,0.09,4.2,cassava,2.37,0.57
26288,0.27,0.7,cassava,0.42,0.6
33711,0.11,1.6,maize,0.82,0.52
22793,0.05,1.0,wheat,0.51,0.51
15671,0.06,6.1,banana,2.88,0.47
29060,0.12,4.6,wheat,2.01,0.44
1736,0.1,1.2,coffee,0.65,0.54
41322,0.04,3.9,banana,1.4,0.36
36581,0.14,1.0,tea,0.72,0.72
8639,0.19,1.0,tea,0.62,0.62
38667,0.12,1.3,wheat,0.71,0.55
39765,0.28,2.2,wheatn,1.0,0.45
21616,0.06,6.4,wheat,3.28,0.51
31333,0.57,0.8,potato,0.47,0.58
28999,0.32,14.7,tea,9.53,0.65
22103,0.8,6.7,wheat,3.16,0.47
37073,0.14,2.3,maize,0.98,0.43
35972,0.35,1.6,wheat,0.8,0.5
37714,0.31,1.7,tea,0.84,0.49
23144,0.04,1.5,tea,0.91,0.61
22175,0.4,13.5,wheat,7.93,0.59
21027,0.21,0.9,maize,0.38,0.43
28704,0.6,14.6,tea,4.49,0.31
28397,0.2,3.3,potato,2.0,0.61
30283,0.19,4.3,potato,2.48,0.58
19647,0.04,8.2,wheat,4.63,0.56
37204,0.1,1.2,wheat,0.84,0.7
26323,0.12,1.3,cassava,0.54,0.42
42745,0.37,0.9,coffee,0.32,0.36
43842,0.15,2.6,banana,1.16,0.45
17281,0.38,2.4,wheat,1.27,0.53
18795,0.06,0.9,banana,0.42,0.47
20549,0.29,1.9,coffee,1.15,0.6
839,0.24,4.1,potato,2.39,0.58
36934,0.14,1.2,coffee,0.6,0.5
9414,0.24,0.6,wheat,0.34,0.57
29108,0.22,1.6,tea,1.19,0.74
36150,0.27,1.9,maize,0.85,0.45
4504,0.28,4.4,tea,2.01,0.46
9183,0.01,3.6,coffee,1.62,0.45
33483,0.04,4.7,wheat,2.52,0.54
26217,0.02,1.1,potato,0.65,0.59
40255,0.21,1.0,tea,0.76,0.76
36619,0.76,14.2,coffee,4.92,0.35
30440,0.04,4.5,cassaval,2.23,0.5
27615,0.33,0.5,potato,0.27,0.54
343,0.69,0.6,wheat,0.26,0.43
40784,0.13,9.1,tea,5.29,0.58
11925,0.15,4.1,coffee,1.61,0.39
21135,0.15,2.9,cassava,1.12,0.39
31130,0.14,0.6,potato,0.36,0.6
7981,0.27,3.7,potato,2.31,0.62
39565,0.05,3.5,coffee,1.51,0.43
30567,0.33,4.8,cassava,1.59,0.33
26937,0.26,2.4,potato,1.32,0.55
12971,0.21,1.1,wheat,0.78,0.71
30566,0.59,4.1,coffee,1.08,0.26
5881,0.75,1.4,cassava,0.66,0.47
20937,0.07,0.7,coffee,0.32,0.46
38482,0.33,9.9,wheat,5.36,0.54
17894,0.13,4.3,wheat,2.15,0.5
3944,0.08,1.1,rice,0.69,0.62
29911,0.17,2.8,maize,1.48,0.53
32366,0.01,3.7,rice,2.53,0.68
13862,0.05,4.3,wheat,1.87,0.44
36606,0.0,9.7,rice,4.99,0.51
17588,0.11,1.3,tea,0.79,0.6
32406,0.06,1.4,wheat,0.71,0.51
5525,0.24,4.7,cassava,2.32,0.49
45128,0.76,1.4,coffee,0.42,0.3
41375,0.32,3.8,potato,2.15,0.57
1138,0.27,8.3,potato,4.94,0.6
17039,0.12,1.0,wheat,0.54,0.54
19438,0.72,1.8,cassava,0.89,0.5
26554,0.27,4.0,coffee,1.93,0.48
26594,0.23,3.4,potato,2.14,0.63
35962,0.18,1.2,tea,0.87,0.72
17172,0.13,4.3,maize,2.93,0.68
18264,0.01,2.0,cassava,0.99,0.49
42133,0.21,2.8,wheat,1.64,0.59
33484,0.05,0.6,wheat,0.36,0.6
21472,0.03,2.0,coffee,0.97,0.49
23329,0.02,1.2,potato,0.71,0.59
38236,0.1,2.2,cassava,0.94,0.43
18870,0.42,0.5,potato,0.32,0.63
35076,0.19,1.4,banana,0.67,0.48
13480,0.26,1.0,tea,0.75,0.75
44059,0.01,3.5,wheat,1.82,0.52
13867,0.22,11.7,wheat,6.47,0.55
12619,0.05,5.6,cassava,2.66,0.48
40805,0.4,13.5,wheat,6.5,0.48
14474,0.18,3.8,wheatn,2.31,0.61
41754,0.06,3.9,coffee,1.39,0.36
21936,0.08,0.6,coffee,0.29,0.48
5181,0.07,0.9,coffee,0.45,0.5
1487,0.07,4.4,wheat,2.44,0.56
29043,0.18,1.0,cassava,0.59,0.59
37743,0.23,3.1,cassava,1.56,0.5
8663,0.06,13.3,tea,8.49,0.64
30714,0.81,4.3,coffee,1.21,0.28
44715,0.12,4.9,wheat,2.02,0.41
11674,0.02,1.2,cassava,0.58,0.48
40708,0.1,14.0,banana,6.5,0.46
9654,0.29,1.2,potato,0.66,0.55
28300,0.0,0.8,banana,0.39,0.49
23995,0.24,3.6,maize,1.94,0.54
5676,0.15,1.1,maize,0.52,0.48
17318,0.02,4.1,coffee,2.01,0.49
8961,0.05,10.2,cassava,3.87,0.38
22077,0.02,2.1,cassava,1.14,0.54
24678,0.5,14.7,coffee,6.78,0.46
42339,0.25,3.9,tea,2.42,0.62
31068,0.06,3.0,maize,1.44,0.48
5478,0.4,6.5,wheat,4.19,0.65
8350,0.6,9.5,coffee,2.51,0.26
25300,0.37,4.5,coffee,1.68,0.37
42811,0.18,3.1,tea,1.98,0.64
